total_bill,tip,sex,smoker,day,time,size
14.31,,Female,Yes,Sat,Dinner,2
14.0,3.00,Male,No,Sat,Dinner,2
7.25,1.00,Female,No,Sat,Dinner,1
38.07,,Male,No,Sun,Dinner,3
23.95,2.55,Male,No,Sun,Dinner,2
25.71,4.00,Female,No,Sun,Dinner,3
17.31,3.50,Female,,Sun,Dinner,2
29.93,5.07,Male,No,Sun,Dinner,4
10.65,1.50,Female,No,Thur,,2
12.43,1.80,Female,No,Thur,Lunch,2
24.08,2.92,Female,No,Thur,Lunch,4
11.69,,Male,No,Thur,Lunch,2
13.42,1.68,Female,No,Thur,Lunch,2
14.26,2.50,Male,No,Thur,,2
15.95,2.00,Male,No,Thur,Lunch,2
12.48,2.52,Female,No,Thur,Lunch,2
29.80,4.20,,No,Thur,Lunch,6
8.52,1.48,Male,No,Thur,Lunch,2
14.52,2.00,Female,No,Thur,Lunch,2
11.38,,Female,No,Thur,Lunch,2
22.82,2.18,Male,No,Thur,Lunch,3
19.08,1.50,Male,No,Thur,Lunch,2
20.27,2.83,Female,,Thur,Lunch,2
11.17,1.50,Female,No,Thur,Lunch,2
12.26,2.00,Female,No,Thur,Lunch,2
18.26,,Female,No,Thur,Lunch,2
8.51,1.25,Female,No,Thur,Lunch,2
10.33,2.00,Female,No,Thur,Lunch,2
14.15,2.00,Female,,Thur,Lunch,2
16.0,2.00,Male,Yes,Thur,Lunch,2
13.16,2.75,Female,No,Thur,Lunch,2
17.47,,Female,No,Thur,Lunch,2
34.30,6.70,Male,No,Thur,Lunch,6
41.19,5.00,Male,No,Thur,Lunch,5
27.05,5.00,Female,No,Thur,,6
16.43,2.30,Female,No,Thur,Lunch,2
8.35,1.50,Female,No,Thur,Lunch,2
18.64,,Female,No,Thur,Lunch,3
11.87,1.63,Female,No,Thur,Lunch,2
9.78,1.73,Male,No,Thur,Lunch,2
7.51,,Male,No,Thur,Lunch,2
14.07,2.50,Male,No,Sun,Dinner,2
13.13,2.00,Male,No,Sun,Dinner,2
17.26,,Female,No,Sun,Dinner,2
24.55,2.00,Male,No,Sun,Dinner,4
19.77,2.00,Male,No,Sun,Dinner,4
29.85,5.14,,No,Sun,Dinner,5
48.17,5.00,Male,No,Sun,Dinner,6
25.0,3.75,Female,No,Sun,Dinner,4
13.39,,Male,No,Sun,Dinner,2
16.49,2.00,Male,No,Sun,Dinner,4
21.5,3.50,Male,No,Sun,Dinner,4
12.66,2.50,,No,Sun,Dinner,2
16.21,2.00,Female,No,Sun,Dinner,3
13.81,2.00,Male,No,Sun,Dinner,2
17.51,,Female,Yes,Sun,Dinner,2
24.52,3.48,Male,No,Sun,Dinner,3
20.76,2.24,Male,No,Sun,Dinner,2
31.71,4.50,,No,Sun,Dinner,4
10.59,1.61,Female,Yes,Sat,Dinner,2
10.63,2.00,Female,Yes,Sat,Dinner,2
50.81,,Male,Yes,Sat,Dinner,3
15.81,3.16,Male,Yes,Sat,Dinner,2
7.25,5.15,Male,Yes,Sun,Dinner,2
31.85,3.18,Male,Yes,,Dinner,2
16.82,4.00,Male,Yes,Sun,Dinner,2
32.9,3.11,,Yes,Sun,Dinner,2
17.89,2.00,Male,Yes,Sun,Dinner,2
14.48,2.00,Male,Yes,Sun,Dinner,2
9.6,,Female,Yes,Sun,Dinner,2
34.63,3.55,Male,Yes,Sun,Dinner,2
34.65,3.68,Male,Yes,Sun,Dinner,4
23.33,5.65,,Yes,Sun,Dinner,2
45.35,3.50,Male,Yes,Sun,Dinner,3
23.17,6.50,Male,Yes,Sun,Dinner,4
40.55,,Male,Yes,Sun,Dinner,2
20.69,5.00,Male,No,Sun,Dinner,5
20.9,3.50,Female,Yes,Sun,Dinner,3
30.46,2.00,Male,Yes,,Dinner,5
18.15,3.50,Female,Yes,Sun,Dinner,3
23.1,4.00,Male,Yes,Sun,Dinner,3
15.69,,Male,Yes,Sun,Dinner,3
19.81,4.19,Female,Yes,Thur,Lunch,2
28.44,2.56,Male,Yes,Thur,Lunch,2
15.48,,Male,No,Thur,Lunch,2
16.58,4.00,Male,Yes,Thur,Lunch,2
7.56,1.44,Male,No,Thur,Lunch,2
10.34,,Male,Yes,Thur,Lunch,2
43.11,5.00,Female,Yes,Thur,Lunch,4
13.0,2.00,Female,Yes,Thur,,2
13.51,2.00,Male,Yes,Thur,Lunch,2
18.71,4.00,Male,,Thur,Lunch,3
12.74,2.01,Female,Yes,Thur,Lunch,2
13.0,2.00,,Yes,Thur,Lunch,2
16.4,2.50,Female,Yes,Thur,Lunch,2
20.53,4.00,Male,Yes,Thur,Lunch,4
16.47,,Female,Yes,Thur,Lunch,2
26.59,3.41,Male,Yes,Sat,Dinner,3
38.73,3.00,Male,Yes,Sat,Dinner,4
24.27,,Male,Yes,Sat,Dinner,4
12.76,2.23,Female,Yes,Sat,Dinner,2
30.06,2.00,Male,Yes,Sat,Dinner,3
25.89,,Male,Yes,Sat,Dinner,4
48.33,9.00,Male,No,Sat,Dinner,4
13.27,2.50,Female,Yes,Sat,Dinner,2
28.17,,Female,Yes,Sat,Dinner,3
12.90,1.10,Female,Yes,Sat,Dinner,2
28.15,3.00,Male,Yes,Sat,Dinner,5
11.59,,Male,Yes,Sat,Dinner,2
7.74,1.44,Male,Yes,Sat,Dinner,2
30.14,3.09,Female,Yes,Sat,Dinner,4
12.16,,Male,Yes,Fri,Lunch,2
13.42,3.48,Female,Yes,Fri,Lunch,2
8.58,1.92,Male,Yes,Fri,Lunch,1
15.98,,Female,No,Fri,Lunch,2
13.42,1.58,Male,Yes,Fri,Lunch,2
16.27,2.50,Female,Yes,Fri,,2
10.09,2.00,Female,Yes,Fri,Lunch,2
20.45,3.00,Male,No,Sat,Dinner,4
13.28,,Female,Yes,Sat,Dinner,2
22.12,2.88,Female,Yes,Sat,Dinner,2
24.01,2.00,Male,Yes,Sat,Dinner,4
15.69,3.00,,Yes,Sat,Dinner,3
11.61,3.39,Male,No,Sat,Dinner,2
10.77,1.47,Male,No,Sat,Dinner,2
15.53,,Male,Yes,Sat,Dinner,2
10.07,1.25,Male,No,Sat,Dinner,2
12.60,1.00,Male,Yes,Sat,Dinner,2
32.83,1.17,,Yes,Sat,Dinner,2
35.83,4.67,Female,No,Sat,Dinner,3
29.03,5.92,Male,No,Sat,Dinner,3
27.18,,Female,Yes,Sat,Dinner,2
22.67,2.00,Male,Yes,Sat,Dinner,2
17.82,1.75,Male,No,Sat,Dinner,2
18.78,3.00,,No,Thur,Dinner,2
